"filename", "language", "JSON with Comments", "JSON", "TypeScript", "Prisma", "JavaScript", "MS SQL", "comment", "blank", "total"
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\models\InterviewPass.js", "JavaScript", 0, 0, 0, 0, 1, 0, 1, 0, 2
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\models\InterviewSlot.d.ts", "TypeScript", 0, 0, 448, 0, 0, 0, 652, 0, 1100
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\models\InterviewSlot.js", "JavaScript", 0, 0, 0, 0, 1, 0, 1, 0, 2
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\models\Lesson.d.ts", "TypeScript", 0, 0, 762, 0, 0, 0, 668, 0, 1430
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\models\Lesson.js", "JavaScript", 0, 0, 0, 0, 1, 0, 1, 0, 2
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\models\LessonProgress.d.ts", "TypeScript", 0, 0, 721, 0, 0, 0, 644, 0, 1365
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\models\LessonProgress.js", "JavaScript", 0, 0, 0, 0, 1, 0, 1, 0, 2
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\models\PayoutRequest.d.ts", "TypeScript", 0, 0, 644, 0, 0, 0, 644, 0, 1288
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\models\PayoutRequest.js", "JavaScript", 0, 0, 0, 0, 1, 0, 1, 0, 2
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\models\Product.d.ts", "TypeScript", 0, 0, 588, 0, 0, 0, 677, 0, 1265
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\models\Product.js", "JavaScript", 0, 0, 0, 0, 1, 0, 1, 0, 2
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\models\ProductCourse.d.ts", "TypeScript", 0, 0, 528, 0, 0, 0, 634, 0, 1162
